paragraph,is_coherent
"The preflight inspection of the fuel tanks by the pilot revealed the tanks were filled to the bottom of the filler neck, which the pilot believed was appropriately full. After starting the engine, fuel began leaking from the fuel sump drain hose. The pilot operated the spring loaded valve handle inside the airplane which apparently stopped the leak. Shortly after departing, the engine began running rough upon which the pilot began a deviation to another airport. During this time, the engine began running smoothly whereupon the pilot continued to his initial destination. During descent, the engine began running rough and the pilot decided the tanks had been exhausted. The pilot performed a forced landing causing substantial damage. The airplane cruising endurance based on 75% power and 90 gallons of fuel on board is 5.4 hours. However, the usable fuel capacity on this airplane when the fuel tanks are filled to the bottom of the filler necks is approximately 80 gallons. The actual flight time of this aircraft was 5.55 hours. A Federal Aviation Administration inspector who examined the airplane noted only residual fuel was found in the selector valve and no leaks were found in the fuel system.",1
"The pilot reported that he was cleared to 4,000 feet msl at his request. Approximately 40 miles southwest of Johnson County Executive Airport, Olathe, Kansas, the pilot noticed clear ice forming on the windshield and the wing's leading edge. He added that the rime ice build up was three inches thick. The pilot stated that he flew the localizer 36 approach at 120 mph and as he crossed the threshold of runway 36, approximately 20 feet above the runway surface, he started to 'round out and the airplane immediately stalled and hit hard'. The aircraft came to rest on the right side approach end of runway 36 where the right main and nose landing gear were found collapsed. At 1553, the Johnson County Executive Airport automated surface observing system recorded a surface temperature of -2 degrees Celsius and an overcast cloud layer at 2,200 feet msl. Advisory circular 00-6A, Aviation weather states, '...all clouds at subfreezing temperatures have icing potential. However, drop size, drop distribution, and aerodynamic effects of the aircraft influence ice formation.' AC 00-6A also states, '...If your aircraft is not equipped with deicing or anti-icing equipment, avoid areas of icing. Water (clouds or precipitation) must be visible and outside air temperature must be near zero degrees Celsius or colder for structural ice to form.' Post accident examination of the aircraft revealed 3/4-inch thick rime ice on the aircraft's wing and empennage leading edges.",1
"The instrument-rated private pilot lost control of the airplane while maneuvering in night instrument meteorological conditions. The pilot originally requested a lower altitude in an attempt to make a VFR approach to El Dorado's Downtown Airport (F43). The pilot was unsuccessful so he requested an ILS approach to South Arkansas Regional Airport (ELD). The controller informed the pilot that he had lost radar contact with the airplane and asked the pilot if he could navigate to the outer marker for the approach. The pilot answered in the affirmative and was cleared for the approach. Radar contact with the airplane was lost for about 27 minutes. During this time, witnesses reported hearing an airplane flying very low numerous times over their homes. Subsequently, the controller re-identified the airplane on radar south of F43 climbing through 2,000 feet msl and turning towards the north. Attempts to reestablish radio contact with the pilot were unsuccessful. The last radar returns received indicated the airplane was in a right hand turn at 3,000 feet msl. Examination of the airplane revealed no evidence of any pre-impact mechanical discrepancies.",1
"The non-instrument rated private pilot was receiving flight following during the dark night cross-country flight conducted in visual meteorological conditions. The pilot's last radio transmission was a routine radio check with air traffic control. Radar data shows that approximately 23 seconds after this radio call, the airplane entered a climb. The climb continued for 3-minutes 37-seconds at an average rate of 414 feet/minute. The airplane then began to descend and turn to the right. The last radar return placed the airplane approximately 0.6 nautical miles south of the accident site descending through 8,100 feet at a rate of 2,166 feet/minute. There were no witnesses to the accident. The wreckage was located two days after the accident in heavily wooded, mountainous terrain near the crest of an 1,800 foot ridge line. The airplane was found fragmented along an up sloping path extending approximately 500 feet from the initial contact with trees. Examination of the airframe and engine revealed no evidence of any pre-impact mechanical malfunctions. An autopsy and toxicology of the pilot revealed no evidence of physical impairment or incapacitation.",1
"The commercial pilot reported a partial power loss to the right engine that 'could be...fuel starvation' during an IFR cross-country flight. During the visual approach to an alternate airport, the aircraft impacted trees short of the runway. The right auxiliary fuel pump switch was found on HI, the right fuel selector OFF, & the left fuel selector on X-FEED. Flaps & landing gear were extended. The right propeller was not feathered. The pilot reported the right engine experienced a 'mechanical fuel pump and/or aneroid' failure. The right auxiliary fuel pump was tested and found to pump fluid. Damage to the engine driven (mechanical) pump precluded testing. The engine driven fuel pump failure checklist states that the lack of fuel flow indication while on the HI auxiliary fuel pump position could indicate fuel exhaustion. The single-engine landing checklist calls for landing gear & flap extension when certain of making the airport. The checklist also calls for feathering the propeller of the inoperative engine.",1
"While performing aerobatics between 3,000 and 4,000 feet agl, the airplane impacted terrain. According to a second airplane pilot, who was in loose trail behind the accident aircraft, the maneuvers that were briefed by the accident pilot included, climbs, dives, turns, barrel rolls and loops. The second pilot said the accident aircraft began a high G pull-up. At the top of the climb, the aircraft nosed over and began a slight left turn. The left turn became a hard left that turned into a partial snap roll with a resulting spin to the left. About 3 to 4 turns had been observed when the aircraft began to recover. However, during the recovery, it struck the ground in a near level attitude and burst into flames. Winds were light and the sky was clear. Remains of rear control stick were not found in the female attachment fitting. The aircraft's POH states that the aircraft will lose 500 feet of altitude for each full spin rotation. Postaccident examination did not disclose any evidence of mechanical malfunction.",1
"Routine air work was performed and then touch-and-go landing practice was planned. The approach and landing on runway 34 was normal. Trim was reset for takeoff, the checklist was completed, and power was added. During the takeoff roll the pilot noticed that unusual stick forces were required to raise the tail wheel. The trim setting was rechecked and confirmed. The pilot added some additional nose down trim, but no relief of stick pressure was noticed. He decided to abort the takeoff and applied forward stick to prevent the airplane from leaping off the runway in a stalled condition. He was drifting to the right and approaching the intersection of runway 30 at this time. He saw a row of sailplanes parked on runway 30 in his path and elected to turn off the runway into sagebrush and grass. The right main landing gear fell into a ditch and collapsed, buckling and distorting the fuselage. FAA inspectors examined the airplane and did not report finding any trim or control system irregularity; however, the fuselage distortion precluded a complete examination.",1
"The pilot indicated the purpose of the flight was to practice outside snap rolls. When he pressed on the left rudder pedal, it went all the way to the floor with no resistance. He reported that the airplane was in straight and level flight when he reached down to verify that the cable was detached, hoping to be able to control the airplane when he realized that the cable was slack from the rear of the airplane. He then informed the tower of the emergency. The airplane entered a right bank from which the pilot could not recover and he jumped out of the airplane and parachuted to safety. The airplane wreckage was examined. The right rudder cable was found continuous from the cockpit pedal to the rudder control horn, with the horn end of the cable secured with a nicopress fitting. The left rudder cable was attached to the cockpit pedal but was detached from the rudder horn. The left cable to horn nicopress fitting was not on the cable's horn end and the left rudder cable end exhibited long and even splaying. When the cable was stretched out, it went all the way back to the rudder horn and was nearly identical in length to the right cable. A search of the accident site failed to locate the missing nicopress fitting.",1
"At dusk, with a 100-foot ceiling in fog, the captain of the Beech 1900D had performed two missed approaches to the airport. On the third approach, both the captain and first officer visually acquired the runway. The first officer said the captain lined the airplane up with the runway centerline and requested landing flaps. The first officer further stated, '...the aircraft floated at appr. 20' [feet] over the runway at a normal transition when I heard the captain taking the power levers over the 'FI [flight idle] gate' by the sound of the engine/props.' This placed the propellers in the 'BETA' range. The airplane then started to sink, and the captain pulled back on the control yoke. The main landing gear struck the ground and were fractured during the +2.9G touchdown, which occurred about 2,500 feet beyond the approach end of the 5,252 foot long runway. The airplane departed the right side of the runway, about 4,700 feet beyond the approach end, and stopped. To place the throttles in BETA, it was necessary to lift the power levers over the flight idle stop. Examination of the flight manual revealed a warning:  'Do not lift power levers in flight.'",1
"The Continental Airlines Boeing 747-238B departed Tokyo en route to Honolulu on a regularly scheduled passenger flight. The crew reported that turbulence had been forecasted. Approximately 59 minutes after departure, while cruising at FL330 in dark night conditions, the captain observed a sudden fluctuation in outside air temperature and the aircraft entered an area of wave activity. The Captain illuminated the seat belt signs and within 5-8 seconds the aircraft encountered severe clear air turbulence (CAT) which lasted for approximately 10 minutes. The aircraft continued on to its destination of Honolulu, Hawaii. Review of meteorological information indicated two jet streams traversing the area, one at 34,000 feet at 160 knots, and the other to the south at 39,000 feet at 180 knots. The jet streams generally diverged in the area of the event. A  satellite image taken at the time of the event indicated a band of high level clouds in the immediate area. The clouds were aligned in a 'band' formation oriented northwest to southeast, and perpendicular to the wind flow pattern. This pattern was similar to previous CAT encounters with transverse wave cloud patterns. No useful information was available from either the cockpit voice or flight data recorders.",1
